method: org.apache.fop.render.awt.viewer.GoToPageDialog$2.<init>:508495480
0(508495480) -> 0(255368885) 
this(508495480) -> this(255368885) 
this$0(508495480) -> this$0(255368885) 
0(255368885) -> 0(1312523489) 
this(255368885) -> this(1312523489) 
this$0(255368885) -> this$0(1312523489) 
0(1312523489) -> 0(1705948446) 
this(1312523489) -> this(1705948446) 
this$0(1312523489) -> this$0(1705948446) 
0(1705948446) -> 0(586502859) 
this(1705948446) -> this(586502859) 
this$0(1705948446) -> this$0(586502859) 
0(586502859) -> 0(403611483) 
this(586502859) -> this(403611483) 
this$0(586502859) -> this$0(403611483) 
0(403611483) -> 0(-508495480) 
this(403611483) -> this(-508495480) 
this$0(403611483) -> this$0(-508495480) 
0(403611483) -> .return(-508495480) 
